Date,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,XK
2007-05-13 01:00:00,705.0285367475383,3704.3475564940754,715.9768831926697,7088.1598454613295,2605.5087472255796,3826.0,4790.089749027235,39037.006165234685,2273.088228346561,535.9284427611556,18545.31922127256,6152.3092907661485,32082.776260164846,20971.091713289614,3515.9104411183844,1016.5588116209432,3126.7156434459966,1478.870506496221,22702.798227311177,816.5555821590866,575.4635771354689,423.8929690523392,361.181042895637,512.070456750563,8846.324288621538,9268.944638775893,10655.026927629315,3675.353159715638,4606.429559781709,2216.714574628675,10008.128557923803,1048.3004931311928,2405.7931294194905,403.9583484009282
2007-05-13 02:00:00,682.007630079815,3627.1090260145365,712.4229961533937,7072.265171366998,2575.038391263638,3717.0,4775.375395234805,39426.679129839365,2263.0590496653995,501.77271425134387,18188.099893684117,5584.22979556238,30682.725883924635,19617.98769827659,3439.254758847487,1007.8645675186189,2984.3945606134853,1330.8918102404502,22739.359482857617,804.7987820422809,610.2014435115283,403.4880130674219,349.8971812001239,515.5137791738831,8692.220365235222,8466.091162874425,10261.52562765588,3528.7803927576215,4490.375490687588,2136.8098386350966,9378.596832987503,1065.4864959041997,2315.9586290002485,389.69760450671356
2007-05-13 03:00:00,701.7589454646936,3636.8764453097674,678.0517186236696,6974.252604445583,2571.144032483352,3677.0,4461.228253518988,38761.03860990953,2225.1611529587913,515.168198382754,17803.74730801413,5542.698994571068,30293.435028777272,18003.843493561006,3272.7481249972107,952.6524088848099,2862.3491218116646,1147.1936225733666,21198.43705111674,837.0063109246003,597.9356296380895,417.99111469623176,360.5204125057817,518.0539192474381,8660.699518697123,7236.877232255159,9784.508976759691,3411.149829303661,4388.951920293638,2053.883955796759,8279.53788226926,1021.9318217599439,2366.62317220913,373.05047801894597
2007-05-13 04:00:00,762.166431669256,3785.639415067428,722.4748019152945,6869.960003698414,2604.770327459822,3639.0,4829.111832257056,38468.261019378166,2324.546787394424,567.4373160257687,17157.791594721384,5793.023826034596,29606.638208959484,16503.408530920162,3575.422678416324,1016.786723546434,2969.74036177318,967.0071313892322,22681.56041948642,928.0287989374622,495.0440506875102,473.3732776537358,391.4146868788543,517.7742128323148,8445.779991716403,6918.459468731378,10232.389230336643,3400.9506937323554,4184.294041786973,2305.1042725621182,8062.4978574881925,1092.29586929718,2461.0208086898333,417.3491256704716
2007-05-13 05:00:00,796.0689344052802,4205.856542479996,828.7246357639173,7189.4763598700165,2706.605460547353,3709.0,5244.34386141895,40702.40790036151,2576.810611491806,642.295479260027,18216.06845906502,6043.561866414178,31383.933835192813,16848.44168235023,4044.1649770571685,1174.4709116164854,3309.8268321312403,1010.843447829815,24839.846199029682,1028.917232163693,511.75714521659717,550.6803528398641,408.51371421901234,580.2828227352184,8633.44786632423,7526.930380934605,11092.377532782195,3135.094882116169,4459.422039186726,2717.3404237042105,8340.128119310746,1186.2156397671624,2645.957601461389,490.69417000353184
2007-05-13 06:00:00,845.6146849055157,4485.721735483472,931.4154766729196,7561.6804211402605,2873.9432129288775,3822.0,5646.611989400964,44077.67273157105,2890.0776035012973,712.768896350765,20057.20533042139,6281.032177307319,34168.52605702012,19741.658035713932,4541.838929411208,1326.7163722236883,3508.0464657214393,1307.4069806926927,27014.083707473063,1127.1187781628792,587.7187033117405,635.1977477375706,433.596554337056,648.8567431048122,9128.328620558641,8196.328660296764,11906.357923580497,3315.4634936153257,4640.421377056665,3088.9921367361603,8872.186726910171,1319.0944663183504,2812.965535959734,556.6453949689645
2007-05-13 07:00:00,851.8743367599548,4786.31208906364,1025.8648878766792,8070.42464879406,3057.030678293681,3914.0,6046.804558144929,46854.949942273735,3081.028224523846,741.9072273059952,21795.637926810028,6509.536723151794,36665.62653300781,23591.416306212734,4979.938444542405,1466.7121668091445,3793.9384501746335,1616.4154394451482,28672.466658033576,1173.4841038624704,578.1355674393577,663.9774159826316,436.67018452498866,726.2751132611662,9918.700223901513,8628.408160604442,12402.556381008717,3750.5232377350794,4781.351823588369,3409.6541184040134,9465.793782315159,1441.3885326552913,2901.722808211857,613.649725382231
2007-05-13 08:00:00,919.0409778984343,4967.247204229558,1087.6716240706828,8475.435429942092,3142.371027120219,3952.0,6181.959172374939,49117.29387338263,3151.4161509861256,748.1469074687834,22618.81129302532,6701.406420388095,38412.78894525999,27197.378447862804,5381.158494309306,1558.5739173906068,3929.665490049939,1872.6845581416305,28678.868405687288,1177.1353781332464,649.2786417466308,669.1478682100569,470.7388699170511,768.6152089521921,10602.815603418981,9262.244020147038,12741.861924907258,4113.635742667411,4835.187456493733,3520.8180571734024,9847.441078869428,1478.3897323714782,3002.3534170254106,633.4673109826363
2007-05-13 09:00:00,925.2397661372347,5160.300341845298,1126.99702046799,8948.23310491436,3192.8684213172683,4099.0,6023.154816464409,51887.934912760924,3136.2782105952224,745.3673500471306,22927.279116308346,6733.6756951453335,39806.325654606866,29297.091363594303,5515.625403982722,1617.2378079699056,4018.556482313561,2033.0493639690858,29264.684463953312,1163.7433095207575,644.7104623085467,655.819255972672,473.80025465609657,792.0343903204595,10797.18931263111,9239.507956603,12814.21919704826,4387.65086457448,4958.828270492407,3618.48520404064,10102.547937595722,1541.7288382565193,2874.0910907944453,650.7482458937534
2007-05-13 10:00:00,935.296197249009,4873.976997582193,1098.9513194852698,8868.557353895525,3304.8315027081244,4054.0,5722.378157951274,50776.49327778604,3090.68350687764,741.4661635151933,23403.592804617772,6610.903592692796,41617.66878620363,29918.285589800715,5379.428711371058,1576.5032645243582,4019.547057063306,2187.1693123924833,27735.34291898815,1145.463333158504,620.3316170446881,652.3885384509044,478.84693892410354,801.502684717777,11017.722992912164,9144.687018076904,12783.353257627374,4637.811202535869,4963.030752653958,3584.464851385473,10210.250425888311,1477.7067672562907,2796.877964020351,644.4673109830785
