,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,XK
2008-03-25 10:00:00,862.8055605098762,6099.921923671731,1118.098507321441,9462.954144892043,3796.47841224861,6976.0,6909.68156094498,69117.76821406618,4015.4506793266155,943.9422457768144,32358.580266438523,7808.524817616222,47652.38337891099,35215.09088771641,3034.685609877626,1712.8224059279983,4297.849184326759,2055.8533878533513,34973.72258440851,1462.5331182447565,677.2373253555543,827.909698783382,486.75876389937673,837.8996696891151,13506.495032509267,10880.34053205307,16118.544907434896,5996.977645759613,6554.016930121817,4230.58840498639,12970.870697490936,1249.106994847211,2790.439302816876,797.8869747074646
2008-03-25 11:00:00,895.3782798982431,5943.4143732727935,1106.7848348511175,9395.01747677891,3719.0054729005064,6652.0,6964.490230059313,68428.28290008396,4046.1169177058323,937.5523019176705,32536.76994776845,7725.114440423062,48378.062857324745,35256.419429152826,2894.1322326683794,1699.4793812956236,4352.139878541071,2144.063510224595,32312.674482420818,1450.1168087672443,686.9128038846111,820.352211625843,501.6292251991381,861.5367252612754,13615.947772502517,10919.15333580862,16287.668830188519,6171.916594673743,6654.961477878238,4240.142204042191,12844.25773304146,1266.5855069682677,2876.94667556563,798.2770530228552
2008-03-25 12:00:00,863.794473971004,6034.509075983758,1077.9466210597052,9459.5994486153,3753.9336475976324,6811.0,6923.453065020402,67708.68005787514,3931.770101840895,919.4775332202826,32233.129299854743,7621.783249269965,47455.29583219139,34660.58664439668,2326.1139258385147,1656.0844451910702,4318.714755303414,2131.5662400706333,33410.21012252437,1428.6055246083793,677.117210830276,800.2158165496056,484.60737113477586,893.7467906964379,14010.461264016138,10849.469364551629,16326.967903386278,5696.259469799917,6561.29684340046,4175.092728699245,12799.023445972944,1222.303050221883,2932.723160527198,785.8989569552646
2008-03-25 13:00:00,866.2767174308865,5971.632086405916,1039.9025710398128,9390.3965871287,3710.92756003473,6739.0,7211.641686531655,67312.3732389542,3712.8777400774034,893.4300271405177,30427.069959818087,7489.761642816046,45393.67388303057,34352.43033736388,2141.827424979242,1602.009081272294,4148.946803788662,2095.8955248061316,34205.411524787676,1376.6486478283095,682.5206797417375,741.6484939523498,485.5429625552497,907.3333883268415,14101.808399872878,10641.054139803644,15923.390489134817,5934.254548145864,6442.533494927713,4179.799871879136,12651.624358397135,1290.25685119735,2917.6898444675894,786.5224187016943
2008-03-25 14:00:00,864.7283607309732,5838.302580731433,1014.8183511249675,9354.676111076047,3740.664437380212,6636.0,6964.628667785932,66700.97640495822,3604.2099849481992,852.6261065316487,30285.00056118276,7406.869933360971,43641.98252918426,34000.97650449788,2176.5605116822367,1570.2504742528295,4210.109939480621,2099.591411636806,34304.702593591006,1316.4698566000334,647.5936032235066,744.7240040265283,484.68713251796413,885.6469697409692,13848.275645758793,10366.6656477879,15477.698878355237,6117.599775727871,6398.875972590087,4109.640454775372,12144.192764580614,1267.785895175127,2882.192381785181,774.1444299040838
2008-03-25 15:00:00,874.5691757703133,5710.740571818036,1025.9883502872067,9111.183815404765,3773.4854244659596,6650.0,6542.571979198892,64556.7771277646,3849.2548041807895,833.9115443353919,30063.24822039157,7175.029150807255,42141.38597735978,35275.44184910869,2151.2705102160353,1597.1351125617416,4054.7331911082742,2145.5066970696416,34235.09610899969,1288.660472780179,643.7258235447713,744.5388311375739,490.31543635661296,861.1792074238086,13602.362186425149,9863.165897318559,15184.205909931632,6014.824287034337,6482.258185423746,4168.676840753275,11879.587795264635,1281.924017314779,2793.7148713402103,785.4569891672325
2008-03-25 16:00:00,892.8805587589388,5740.906996527613,1055.0284673585188,9058.271836164855,3786.586553705964,6419.0,6411.054866791452,63991.89005895717,3742.032308851741,814.3537078276178,29830.72304400483,7317.590509134246,41981.5471876207,35603.17384261235,2545.0263878546148,1653.8542243525385,3960.228796025801,2204.4320804497447,33440.83801447421,1289.0676040716378,620.6006022219756,839.5011371897948,499.75226911398386,891.4100857596059,13339.607516616205,9386.487056509972,15274.405471846556,5970.224043836521,6677.1837658273835,4326.895929969185,11468.08368853951,1233.574606222068,2828.179901844056,814.090740448065
2008-03-25 17:00:00,978.1417276026009,5983.69987803002,1178.0987197522397,9051.328940015339,4221.995957453804,6463.0,7146.422435933193,65560.42271052134,3578.577280686255,876.032744645205,29394.127013460606,7788.39464080385,45817.510206964056,34620.45301486536,3521.030478984314,1844.9004403878803,4140.613809723311,2139.6519344012704,36235.81712736511,1407.0093540360517,619.5830673309031,889.8570969640343,543.6125105526118,996.749865957133,12766.331106662674,9543.389674486743,16587.61039668985,5737.216730950362,7312.598082716824,4722.775105734192,11707.740311877822,1340.000822397269,2968.7866800191573,885.1524539848158
2008-03-25 18:00:00,988.2993141011641,5908.792471641236,1267.5339842314556,9440.191135837455,4645.362884736774,6659.0,7116.622948334978,68533.16861932882,3702.6431477380743,856.7420989722832,30996.735962998115,7540.505440983854,48941.80805678324,35104.23912493832,3756.2794219058615,1985.1216321435718,4574.932017573901,1997.071936586221,35786.57277371779,1369.6718743330066,718.9897919782779,828.6306900941388,548.4203526328051,1032.9881056778015,13795.381243299036,9902.34628956849,17518.9221153775,5939.601614676669,7318.479910182324,4913.143318907461,12269.92186223222,1424.1366835613437,3040.03655880317,918.9462190364902
2008-03-25 19:00:00,974.0591456303431,5425.426509712264,1244.2507589860452,9318.339692338237,4553.391648769881,6395.0,6867.867352105095,64741.290006630974,3494.443819420115,801.903785216415,33643.6284366178,7634.198503999875,45806.286523738774,37132.160109870936,3689.3470320951546,1955.3834304235895,4529.620586105808,2297.87727626399,34077.353879909824,1197.1958664696892,691.242890965205,656.3493834970054,539.2579975787419,1034.0324863930218,13653.919505020298,10080.163680000976,16997.72227171452,6577.4507269905935,6967.67297127069,4847.58122816576,11552.446205871765,1357.5630820476367,2982.4965810384674,905.8401369998273
