siec,plant_tec,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
R5100,CAP_NET_ELC,MW,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
R5100,CAP_NET_ELC,MW,MK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,NL	270.570 	239.115 	222.000 	226.000 	223.005 	218.000 	190.190 	214.666 	172.174 	132.578 	157.938 	156.141 	154.923 	94.172 	39.995 	39.680 	36.942 	35.887 	36.134 	36.041 	34.461 	33.246 	4.777 	4.681 	4.396 	5.595 	5.000 	5.000 	5.000 	5.000 	5.000 
R5100,CAP_NET_ELC,MW,NO	20.000 	27.000 	27.000 	27.000 	27.000 	79.000 	79.000 	79.000 	79.000 	79.000 	79.000 	79.000 	79.000 	79.000 	79.000 	79.000 	95.000 	107.000 	101.000 	35.000 	35.000 	30.000 	100.000 	102.000 	102.000 	97.000 	42.000 	42.000 	42.000 	42.000 	41.000 
R5100,CAP_NET_ELC,MW,PL	734.201 	731.780 	735.159 	708.769 	727.000 	737.000 	629.000 	582.000 	455.000 	175.000 	53.000 	42.000 	40.000 	33.000 	25.000 	25.000 	24.000 	24.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,PT	602.968 	589.571 	535.932 	471.211 	477.000 	471.000 	456.000 	458.000 	479.000 	478.000 	482.000 	342.000 	293.000 	290.000 	279.000 	273.000 	224.000 	224.000 	233.000 	214.000 	219.000 	233.000 	211.000 	212.000 	205.000 	205.000 	203.000 	207.000 	212.000 	192.000 	192.000 
R5100,CAP_NET_ELC,MW,RO	135.832 	118.771 	119.278 	118.883 	107.000 	104.000 	79.000 	35.000 	30.000 	26.000 	19.000 	0.000 	15.000 	15.000 	0.000 	0.000 	0.000 	0.000 	0.000 	151.000 	251.000 	0.000 	0.000 	303.000 	309.000 	304.000 	305.000 	329.000 	196.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,RS	2.400 	2.400 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,SE	2942.000 	3834.000 	3918.000 	3706.000 	3769.000 	3700.000 	3729.000 	3120.000 	3522.000 	3397.000 	3178.000 	3142.000 	2761.000 	2570.000 	3202.000 	2526.000 	1670.000 	1670.000 	1670.000 	1778.000 	1490.000 	1490.000 	1331.000 	1331.000 	1437.000 	1200.000 	1200.000 	1200.000 	1200.000 	1200.000 	1200.000 
