Country;month;year;status;net_gen_nuclear;net_gen_nuclear_rep;prod_fossil_fuels;prod_fossil_fuels_rep;-> of which lignite;lignite_rep;-> of which hard coal;hard_coal_rep;-> of which gas;gas_rep;-> of which oil;fuel_oil_rep;-> of which mixed fuels;mixed_fuel_rep;-> of_which_other_fossil_fuels;other_fossil_fuels_rep;net_gen_renewable;net_gen_renewable_rep;-> of which wind;wind_rep;-> of which solar;solar_rep;-> of which biomass;biomass_rep;-> of_which_other_renewable;other_renewable_rep;net_gen_hydro;net_gen_hydro_rep;-> of_which_renew;renew_rep;-> of_which_other_hydro;other_hydro_rep;net_gen_not_clearly;net_gen_not_clearly_rep;losses_trans;losses_trans_repr;Sum;pump;exg_saldo;consumption
LV;1;2014;P;0;100;256;100;0;100;0;100;198;100;0;100;58;100;0;100;74;100;17;100;0;100;29;100;28;100;257;100;257;100;0;100;0;100;23;100;587;0;137;724
LV;2;2014;P;0;100;256;100;0;100;0;100;204;100;0;100;52;100;0;100;65;100;13;100;0;100;26;100;26;100;165;100;165;100;0;100;0;100;18;100;486;0;143;629
HR;2;2014;P;0;100;264;100;0;100;153;100;32;100;0;100;79;100;0;100;73;100;73;100;0;100;0;100;0;100;851;100;851;100;0;100;0;100;38;100;1188;2;168;1354
HR;3;2014;P;0;100;297;100;0;100;189;100;43;100;0;100;65;100;0;100;65;100;65;100;0;100;0;100;0;100;756;100;756;100;0;100;0;100;40;100;1118;13;285;1390
NL;1;2014;D;382;100;6665;100;0;100;0;100;0;100;0;100;0;100;6665;100;1397;100;626;100;8;100;763;100;0;100;10;100;10;100;0;100;0;100;38;100;8454;0;1744;10198
IS;1;2014;P;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;434;100;1;100;0;100;0;100;433;100;1115;100;1115;100;0;100;0;100;33;100;1549;0;0;1549
IS;2;2014;P;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;391;100;1;100;0;100;0;100;390;100;997;100;997;100;0;100;0;100;30;100;1388;0;0;1388
IS;3;2014;P;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;434;100;1;100;0;100;0;100;433;100;1009;100;1009;100;0;100;0;100;28;100;1443;0;0;1443
IE;2;2014;P;0;100;1258;100;215;100;216;100;823;100;1;100;0;100;3;100;635;100;619;100;0;100;0;100;16;100;126;100;100;100;26;100;0;100;0;100;2019;46;240;2213
AT;1;2014;P;0;100;1470;100;0;100;414;100;792;100;55;100;0;100;209;100;489;100;256;100;;100;;100;233;100;2429;100;2062;100;367;100;503;100;53;100;4891;524;2041;6408
NL;2;2014;D;300;100;5979;100;0;100;0;100;0;100;0;100;0;100;5979;100;1188;100;783;100;5;100;400;100;0;100;4;100;4;100;0;100;0;100;34;100;7471;0;1625;9096
NL;3;2014;D;383;100;6020;100;0;100;0;100;0;100;0;100;0;100;6020;100;1304;100;868;100;4;100;432;100;0;100;4;100;4;100;0;100;0;100;27;100;7711;0;1682;9393
FR;2;2014;P;36396;100;2638;100;0;100;704;100;1680;100;254;100;0;100;0;100;3382;100;2485;100;263;100;634;100;0;100;7083;100;6609;100;474;100;0;100;842;100;49499;677;-4282;44540
SE;2;2014;P;5876;100;505;100;0;100;85;100;241;100;8;100;171;100;0;100;1826;100;872;100;0;100;954;100;0;100;6386;100;6386;100;0;100;0;100;279;100;14593;0;-2241;12352
FR;3;2014;P;35798;100;2980;100;0;100;1027;100;1667;100;286;100;0;100;0;100;2513;100;1295;100;534;100;684;100;0;100;7031;100;6575;100;456;100;0;100;809;100;48322;651;-4533;43138
FI;2;2014;P;1862;100;1650;100;0;100;720;100;586;100;17;100;327;100;0;100;1148;100;81;100;0;100;1067;100;0;100;1220;100;1220;100;0;100;68;100;0;100;5948;0;1416;7364
RO;2;2014;D;878;100;2424;100;1070;100;243;100;368;100;0;100;743;100;0;100;457;100;353;100;61;100;43;100;0;100;1153;100;1153;100;0;100;0;100;83;100;4912;8;-272;4632
GB;2;2014;P;4763;100;17757;90;0;100;10496;100;5483;100;2;100;0;100;0;100;4587;100;2752;100;0;100;0;100;0;100;811;87;461;100;245;100;0;100;516;100;27918;324;1561;29155
DE;1;2014;P;8430;100;33730;100;13394;100;10724;100;8111;100;645;100;856;100;0;100;10382;100;6418;100;719;100;3109;100;136;100;2045;100;1346;100;699;100;0;100;670;100;54587;740;-4332;49515
PL;2;2014;P;0;100;10415;100;3811;100;5647;100;212;100;0;100;0;100;745;100;1268;100;734;100;0;100;502;100;32;100;227;100;163;100;64;100;0;100;106;100;11910;92;131;11949
BE;2;2014;P;4005;100;1518;100;0;100;335;100;1180;100;3;100;0;100;0;100;1138;100;609;100;110;100;419;100;0;100;150;100;38;100;112;100;0;100;0;100;6811;150;397;7058
NI;3;2014;P;0;100;458;100;0;100;195;100;263;100;0;100;0;100;0;100;168;100;160;100;0;100;5;100;3;100;1;100;0;100;1;100;0;100;12;100;627;0;157;784
EE;2;2014;P;0;100;758;100;0;100;0;100;0;100;0;100;0;100;758;100;104;100;50;100;0;100;54;100;0;100;3;100;3;100;0;100;0;100;36;100;865;0;-140;725
BG;2;2014;D;1292;100;1888;100;1454;100;257;100;177;100;0;100;0;100;0;100;196;100;113;100;74;100;9;100;0;100;200;100;124;100;76;100;0;100;0;100;3576;111;-569;2896
MK;2;2014;P;0;100;345;100;336;100;0;100;9;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;65;100;0;100;65;100;0;100;15;100;410;0;312;722
CZ;2;2014;P;2247;100;3973;100;3099;100;489;100;378;100;7;100;0;100;0;100;461;100;45;100;111;100;127;100;178;100;225;100;122;100;103;100;0;100;68;100;6906;135;-1325;5446
LT;2;2014;P;0;100;162;100;0;100;0;100;49;100;0;100;97;100;16;100;94;100;62;100;3;100;29;100;0;100;80;100;42;100;38;100;0;100;17;100;336;57;612;891
CY;2;2014;P;0;100;273;100;0;100;0;100;0;100;273;100;0;100;0;100;11;100;11;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;284;0;0;284
CH;2;2014;D;2233;100;161;100;0;100;0;100;0;100;0;100;0;100;161;100;143;100;11;100;0;100;0;100;132;100;2518;100;0;100;2518;100;0;100;102;100;5055;122;603;5536
UA_W;3;2014;P;0;100;814;100;0;100;0;100;0;100;0;100;814;100;0;100;2;100;0;100;2;100;0;100;0;100;12;100;12;100;0;100;0;100;17;100;828;0;-434;394
IE;3;2014;P;0;100;1558;100;232;100;368;100;951;100;2;100;0;100;5;100;503;100;483;100;0;100;0;100;20;100;116;100;89;100;27;100;0;100;0;100;2177;48;206;2335
SI;2;2014;P;466;100;292;100;224;100;59;100;0;100;0;100;0;100;9;100;29;100;0;100;8;100;11;100;10;100;541;100;518;100;23;100;19;100;11;100;1347;30;-253;1064
SK;3;2014;P;1296;100;414;100;141;100;96;100;155;100;22;100;0;100;0;100;162;100;1;100;51;100;82;100;28;100;314;100;294;100;20;100;7;100;24;100;2193;28;120;2285
GR;2;2014;P;0;100;2840;100;1943;100;0;100;897;100;0;100;0;100;0;100;736;100;228;100;490;100;18;100;0;100;295;100;28;100;267;100;0;100;88;100;3871;1;175;4045
AT;2;2014;P;0;100;1155;100;0;100;283;100;652;100;53;100;0;100;167;100;489;100;256;100;;100;;100;233;100;2176;100;1856;100;320;100;454;100;47;100;4274;457;1954;5771
DE;2;2014;P;8007;100;28777;100;11865;100;9373;100;6265;100;429;100;845;100;0;100;11329;100;6731;100;1623;100;2852;100;123;100;1765;100;1158;100;607;100;0;100;623;100;49878;627;-4567;44684
NO;1;2014;P;0;100;313;100;0;100;0;100;313;100;0;100;0;100;0;100;357;100;357;100;0;100;0;100;0;100;14072;100;14072;100;0;100;0;100;1187;100;14742;57;-689;13996
IT;2;2014;P;0;100;13081;100;0;100;3037;100;7427;100;1373;100;185;100;1059;100;3323;100;1549;100;1187;100;173;100;414;100;4286;100;4050;100;236;100;0;100;332;100;20690;248;4448;24890
NI;2;2014;P;0;100;476;100;0;100;195;100;281;100;0;100;0;100;0;100;184;100;181;100;0;100;3;100;0;100;1;100;1;100;0;100;0;100;11;100;661;0;82;743
BG;3;2014;D;1386;100;1491;100;1128;100;192;100;171;100;0;100;0;100;0;100;249;100;143;100;97;100;9;100;0;100;259;100;175;100;84;100;0;100;0;100;3385;123;-442;2820
NO;2;2014;P;0;100;275;100;;100;0;100;275;100;0;100;0;100;0;100;245;100;245;100;0;100;0;100;0;100;11343;100;11343;100;0;100;0;100;980;100;11863;57;-171;11635
PT;4;2014;P;0;100;861;100;0;100;432;100;398;100;12;100;0;100;19;100;983;100;715;100;43;100;225;100;0;100;2051;100;1975;100;76;100;0;100;79;100;3895;96;22;3821
ES;3;2014;P;5289;100;5291;100;50;100;1273;100;2967;100;1001;100;0;100;0;100;6584;100;5097;100;1121;100;364;100;2;100;5645;100;5278;100;367;100;18;100;328;100;22827;524;-226;22077
HR;4;2014;P;0;100;266;100;0;100;191;100;72;100;0;100;3;100;0;100;59;100;59;100;0;100;0;100;0;100;634;100;634;100;0;100;0;100;37;100;959;12;336;1283
IS;4;2014;P;0;100;0;100;;100;0;100;0;100;0;100;0;100;0;100;422;100;1;100;0;100;0;100;421;100;934;100;934;100;0;100;0;100;29;100;1356;0;0;1356
