var,country,year,metric,window_days,corr_era5_rcp26,n_era5_rcp26,corr_era5_rcp45,n_era5_rcp45,corr_rcp26_rcp45,n_rcp26_rcp45,era5_roll_mean,era5_roll_std,rcp26_roll_mean,rcp26_roll_std,rcp45_roll_mean,rcp45_roll_std
rsds,GB,2010,corr_rolling_mean_full_year,7.0,0.9432083777964669,2920,0.9467244678372834,2920,0.9604044792934835,2920,115.8764091302893,70.93008016307994,124.03667454259687,75.07858306525748,126.23676339604714,76.17600611292195
rsds,GB,2010,corr_rolling_mean_full_year,14.0,0.9587802144572198,2920,0.964724718071226,2920,0.9782374452117698,2920,115.95412482147378,70.00838424585176,124.05847291299736,74.22723594685506,126.2639391999844,75.3353530776997
rsds,GB,2010,corr_rolling_mean_full_year,30.0,0.9751982151115721,2920,0.984277431056481,2920,0.9887396890486998,2920,116.05725233872616,68.50299666589252,124.18871159659004,73.00462172081387,126.33789826061533,74.19024679135126
rsds,ALL,2010,corr_raw_full_year,,0.9428388380139482,2920,0.9396141023506345,2920,0.9858438424825431,2920,,,,,,
rsds,ALL,2010,corr_rolling_mean_full_year,2.0,0.963197798090463,2920,0.9504848455136679,2920,0.9678246383604475,2920,145.38188388177568,78.15339745554192,155.5723291856961,77.40967457164952,156.75555286503578,79.78013913843482
rsds,ALL,2010,corr_rolling_mean_full_year,5.0,0.976037154326532,2920,0.9640903179217584,2920,0.9789529899606678,2920,145.38463734242245,77.49707991793119,155.58829049396198,76.9642246974858,156.7758876217903,79.26783067225674
rsds,ALL,2010,corr_rolling_mean_full_year,7.0,0.9811153132291249,2920,0.9695300771908256,2920,0.9829581536653257,2920,145.37824235016558,77.21976229398491,155.5926636286205,76.8026943401187,156.78900266507998,79.05525794480785
rsds,ALL,2010,corr_rolling_mean_full_year,14.0,0.9891289958622556,2920,0.9802508603307789,2920,0.9905986784206312,2920,145.41586165025709,76.52325059267176,155.6151452503072,76.35904470325426,156.76237585226127,78.66222634158379
rsds,ALL,2010,corr_rolling_mean_full_year,30.0,0.9958208577469576,2920,0.9915592671383682,2920,0.9959778563350027,2920,145.44679527718796,75.24313844809582,155.6226224339826,75.48955092381415,156.71324400131007,77.90003181983691
sfcWind,DE,2010,corr_raw_full_year,,0.05917400742179565,2919,0.07878900193681514,2919,0.23329422113872794,2919,,,,,,
