var,country,year,metric,window_days,corr_era5_rcp26,n_era5_rcp26,corr_era5_rcp45,n_era5_rcp45,corr_rcp26_rcp45,n_rcp26_rcp45,era5_roll_mean,era5_roll_std,rcp26_roll_mean,rcp26_roll_std,rcp45_roll_mean,rcp45_roll_std
sfcWind,FR,2010,corr_rolling_mean_full_year,14.0,0.32796631177642815,2920,0.33048168477489337,2920,0.44027682807827295,2920,2.9281502502225196,0.4850982011543833,3.5786241559448473,0.7668698607030007,3.27481767947096,0.5949554143051645
sfcWind,FR,2010,corr_rolling_mean_full_year,30.0,0.37906347794078504,2920,0.45323660893519796,2920,0.6400937982279441,2920,2.9155260470438504,0.4050770359934134,3.5940061056047057,0.7122346263445284,3.306823084530682,0.5213571666819714
sfcWind,ES,2010,corr_raw_full_year,,0.01878106563082206,2920,0.042967734054194164,2920,0.14310867694533716,2920,,,,,,
sfcWind,ES,2010,corr_rolling_mean_full_year,2.0,-0.03919517568870628,2920,0.015603600680472967,2920,0.0012323015180199766,2920,2.5537364528622724,0.811876492562071,3.098444748265555,0.8013006892424771,3.0319745624335064,0.7451348088136384
sfcWind,ES,2010,corr_rolling_mean_full_year,5.0,-0.04323659214481169,2920,0.05689517602573494,2920,0.0010694293584706163,2920,2.5590996009365576,0.6446231571142553,3.092190663429545,0.6410183769215869,3.026539897716214,0.6069986965522465
sfcWind,ES,2010,corr_rolling_mean_full_year,7.0,-0.057463109922754815,2920,0.0812993351347525,2920,0.009282140507502498,2920,2.5618466287036776,0.5933119830332538,3.0909098544022853,0.586500470432406,3.023534974133079,0.5441727656819104
sfcWind,ES,2010,corr_rolling_mean_full_year,14.0,-0.08349509196243902,2920,0.1131620609628502,2920,0.10596522247121784,2920,2.563376213528596,0.5107074834622345,3.0925149477126124,0.5012117594831308,3.0218467032493197,0.3862738774926801
sfcWind,ES,2010,corr_rolling_mean_full_year,30.0,-0.04358811943020911,2920,0.134475683088821,2920,0.13498927726710985,2920,2.571665344881791,0.4466664392870778,3.115443038816761,0.40846393100134126,3.0254351111310824,0.2717760220500754
sfcWind,GB,2010,corr_raw_full_year,,0.03315631366561251,2920,-0.00847204437537693,2920,0.12600040240375465,2920,,,,,,
sfcWind,GB,2010,corr_rolling_mean_full_year,2.0,0.017187022440538754,2920,0.003562971165061509,2920,0.134671673336632,2920,3.874970951096261,1.0568947332330947,4.0288461270178,1.3563510768305376,4.050562352976236,1.2088649268895484
sfcWind,GB,2010,corr_rolling_mean_full_year,5.0,0.028426877620146916,2920,0.05275634109724225,2920,0.2465147297131774,2920,3.880121819673919,0.8129542410716946,4.04529128925392,1.1624870001362977,4.06143661335361,0.961838037320601
sfcWind,GB,2010,corr_rolling_mean_full_year,7.0,0.042743350031577504,2920,0.07193967113796823,2920,0.3062084327176036,2920,3.880280845122556,0.7398416439901772,4.050082546123913,1.0864590624473305,4.0669577241672075,0.8777960889617177
sfcWind,GB,2010,corr_rolling_mean_full_year,14.0,0.05236635787652976,2920,0.09864723791474489,2920,0.4459751225200862,2920,3.8836231536149506,0.6314869183249452,4.053175072746887,0.9301034725119578,4.080012760803569,0.7283970649378297
sfcWind,GB,2010,corr_rolling_mean_full_year,30.0,0.1385983760620143,2920,0.13894033026171632,2920,0.6411513577584034,2920,3.8938270109633852,0.527716314379867,4.035599926289009,0.8248467889800755,4.094531917035969,0.5907561188740397
tas,DE,2010,corr_raw_full_year,,0.7889231364602111,2920,0.7955756003370191,2920,0.794600909675415,2920,,,,,,
tas,DE,2010,corr_rolling_mean_full_year,2.0,0.802209254504974,2920,0.8044022631527856,2920,0.7986108290060094,2920,281.41130532711003,8.067733690884623,282.32330116599917,6.771308957053728,281.35556263025995,7.744059838175907
tas,DE,2010,corr_rolling_mean_full_year,5.0,0.8345548801569679,2920,0.8328323762815423,2920,0.8274120505066073,2920,281.41857551300416,7.918018335784813,282.32298475067404,6.635467418439831,281.3601891325957,7.61630019019898
tas,DE,2010,corr_rolling_mean_full_year,7.0,0.8505094932923067,2920,0.8492331875360708,2920,0.842754135156116,2920,281.4218757501963,7.845077081427415,282.32136788969706,6.570585915467046,281.36841608638093,7.537707489576924
tas,DE,2010,corr_rolling_mean_full_year,14.0,0.8921330830315897,2920,0.8940593693071669,2920,0.8837791108956754,2920,281.4169356406675,7.674512291869414,282.3051722974727,6.420956436098231,281.44586821934047,7.241526266757489
tas,DE,2010,corr_rolling_mean_full_year,30.0,0.943307814270703,2920,0.9404835065506203,2920,0.931007724212005,2920,281.4015176887094,7.487137653290924,282.2232143693801,6.298832474081077,281.5618868253,6.835957310334008
tas,DK,2010,corr_raw_full_year,,0.8529063067501079,2920,0.86151578411258,2920,0.8343994223999927,2920,,,,,,
tas,DK,2010,corr_rolling_mean_full_year,2.0,0.8794287149525803,2920,0.8811925793031505,2920,0.8542889746079569,2920,280.2337480245607,7.615485985078238,281.9824761895484,5.955330009503899,281.3140120139533,6.446171585915292
