country,year,total residential space,electricity residential space,total services space,electricity services space
DE,2003,1.0844757887555232,0.3614919295851744,5.465735624215897,1.8219118747386325
DE,2004,0.5944956305616106,0.19816521018720354,4.549642015066542,1.5165473383555141
DE,2005,0.646845864838214,0.21561528827940468,4.678174049207095,1.5593913497356982
DE,2006,1.0272292532591365,0.34240975108637883,5.3366600554166475,1.7788866851388825
DE,2007,0.8145001338859273,0.27150004462864247,5.0874977614862935,1.6958325871620978
DE,2008,0.9112233028697015,0.3037411009565672,5.153018293033047,1.717672764344349
DE,2009,0.9480378536657001,0.3160126178885667,5.41181583814513,1.8039386127150434
DE,2010,1.1195231913374095,0.37317439711246986,6.128437559060173,2.0428125196867244
DE,2011,1.1971350000000003,0.3990450000000001,5.738650860625008,1.9128836202083361
DE,2012,1.2006411111111097,0.40021370370370324,5.925468798987261,1.975156266329087
DE,2013,1.1918769444444437,0.3972923148148146,6.22882119652016,2.076273732173387
DE,2014,1.1602569444444444,0.3867523148148148,5.835056753073531,1.9450189176911772
DE,2015,1.152533888888888,0.3841779629629627,6.523396036406619,2.174465345468873
DE,2016,1.2359249999999997,0.4119749999999999,5.874234828516236,1.9580782761720785
DE,2017,1.309240000000001,0.4364133333333337,5.664803533119994,1.8882678443733314
DE,2018,1.2343630555555574,0.4114543518518525,6.840209665445243,2.2800698884817474
DE,2019,1.26230388888889,0.4207679629629633,6.5226107115558545,2.174203570518618
DE,2020,1.2711530555555586,0.4237176851851862,5.552822593019622,1.850940864339874
DE,2021,1.3950211111111153,0.46500703703703844,5.311532886272102,1.7705109620907005
DK,2000,0.003054626540339174,0.0010182088467797247,0.26438803313821524,0.08812934437940508
DK,2001,0.003560197055318131,0.0011867323517727104,0.2619655181434214,0.08732183938114046
DK,2002,0.003751759019501902,0.0012505863398339673,0.2636728877444942,0.08789096258149807
DK,2003,0.0042104873393512205,0.0014034957797837402,0.25885152100166076,0.08628384033388692
DK,2004,0.00493780376601608,0.0016459345886720266,0.2557284731188227,0.0852428243729409
DK,2005,0.0056277596710560575,0.001875919890352019,0.25317394051572567,0.08439131350524189
DK,2006,0.006616320849089643,0.002205440283029881,0.25187109104497624,0.08395703034832541
DK,2007,0.007759881640836114,0.002586627213612038,0.25338658107400397,0.08446219369133466
DK,2008,0.008711427618531487,0.0029038092061771624,0.24748984748140357,0.08249661582713452
DK,2009,0.009298304982341125,0.0030994349941137083,0.2544664808426979,0.0848221602808993
DK,2010,0.010049100207727802,0.0033497000692426005,0.26046547293051414,0.08682182431017138
DK,2011,0.010738729512568912,0.003579576504189637,0.2581565743325157,0.08605219144417191
DK,2012,0.011557816538040552,0.0038526055126801837,0.2564832064141671,0.0854944021380557
DK,2013,0.0121272255154712,0.004042408505157067,0.25649378169554593,0.08549792723184864
DK,2014,0.012817613075455479,0.004272537691818493,0.25750693587436035,0.08583564529145345
DK,2015,0.013279729478210375,0.004426576492736791,0.2538437564400259,0.08461458548000862
DK,2016,0.014428986566642424,0.004809662188880808,0.2515684474288353,0.08385614914294509
DK,2017,0.014980221973140535,0.004993407324380178,0.2498391518182554,0.0832797172727518
DK,2018,0.01856969291089879,0.006189897636966263,0.25963767964293055,0.08654589321431018
DK,2019,0.01643048050546333,0.005476826835154444,0.2531879939680821,0.0843959979893607
DK,2020,0.017800605299919173,0.005933535099973058,0.23913023395351468,0.0797100779845049
DK,2021,0.018444089365721054,0.006148029788573685,0.24064779114217028,0.08021593038072343
EE,2000,1.280489369307903e-05,4.26829789769301e-06,0.004116111771669841,0.0013720372572232804
EE,2001,1.6601483041433054e-05,5.533827680477685e-06,0.004347729295228049,0.0014492430984093497
EE,2002,2.1379170028776902e-05,7.126390009592301e-06,0.004575776217527493,0.0015252587391758308
EE,2003,2.4759828698592774e-05,8.253276232864259e-06,0.0049714502419586975,0.001657150080652899
EE,2004,3.549944193621191e-05,1.1833147312070637e-05,0.004827026574362009,0.0016090088581206697
EE,2005,5.2696230795791277e-05,1.756541026526376e-05,0.005170506482608147,0.0017235021608693823
EE,2006,6.557578154270846e-05,2.1858593847569487e-05,0.005756973214559576,0.0019189910715198587
EE,2007,8.071867752323135e-05,2.6906225841077115e-05,0.005915500679208992,0.0019718335597363307
EE,2008,9.724524984818634e-05,3.241508328272878e-05,0.005965531485306171,0.0019885104951020568
EE,2009,0.00010685466886947474,3.5618222956491584e-05,0.00606340307628985,0.0020211343587632834
EE,2010,0.0002280933303234365,7.603111010781217e-05,0.007201796589567033,0.002400598863189011
EE,2011,0.00015851233426468112,5.283744475489371e-05,0.006766688253620866,0.0022555627512069556
EE,2012,0.00013950974295698398,4.650324765232799e-05,0.006563428043783942,0.002187809347927981
EE,2013,0.0001476956210733688,4.923187369112293e-05,0.006544167588820564,0.0021813891962735215
EE,2014,0.00018557295228753085,6.185765076251029e-05,0.00669442175238921,0.00223147391746307
EE,2015,0.00017713598239946584,5.904532746648861e-05,0.006623090214586363,0.0022076967381954543
