country,year,sum_hdd,sum_cdd,sum_elec_space_heat,sum_elec_space_cool
BG,2015,1701421553.2928274,398151277.5593097,2.4322719060485163,0.1386452716130136
BG,2017,1831246876.5844228,415429633.76863694,2.7359045668934465,0.1356137562083726
BG,2018,1700638860.312444,367763869.08814925,2.774532699741296,0.1066146551343886
BG,2019,1518958836.1726003,396110516.6888255,3.174391482898223,0.11662919354625328
CH,2011,1426316379.1527424,17760502.69001826,4.444444444444445,0.0729986108543437
CH,2012,1560545580.0257878,20587404.214094453,5.027777777777778,0.0841819729507985
CH,2013,1634149487.0464935,26392240.43907509,5.555555555555556,0.0958755316702552
CH,2014,1420399482.3198452,11030617.79596321,4.333333333333334,0.0712652150623122
CH,2015,1447567078.0681508,45992071.43334644,4.75,0.08527347110300719
CH,2017,1524177211.8818069,35681845.70492859,5.027777777777778,0.0784060716061127
CH,2018,1386842014.5488768,36203897.23153808,4.722222222222221,0.07562282951315709
CH,2019,1466803148.7705116,38429048.28200108,4.888888888888889,0.0777347178086347
CZ,2007,2813315795.0910254,164954314.35825437,6.35454948499917,0.1209316883237072
CZ,2008,2865137644.5816374,137510853.85299465,6.529348843697597,0.130227712464355
CZ,2009,3023086991.6311417,112923185.74052483,6.188882513844574,0.1378915865386933
CZ,2011,2936367677.1994905,116309522.21340933,5.790923835759365,0.1563283879778192
CZ,2012,3110377621.2883143,193196850.77782273,5.750928977649122,0.1604183044851304
CZ,2013,3203500414.2812734,177299628.07744265,6.05705747179601,0.1695164921301026
CZ,2014,2529041829.553861,138023280.96502605,5.447385502585432,0.1614990317914788
CZ,2015,2735537138.1018214,293862473.22256356,5.770654740119192,0.199047621799009
CZ,2017,3003754849.408822,185404772.94253695,7.259462839445453,0.17328923818529768
CZ,2018,2744336374.475585,275860946.2365372,7.494835276778515,0.187279974325744
CZ,2019,2671719079.30091,249403246.56872916,8.012844108703037,0.18857696902338192
DE,2007,88389039607.06744,4169832620.241929,14.665531290370438,1.9673326317907402
DE,2008,95223473055.4208,4522747492.376027,17.131516874500974,2.021413865300916
DE,2009,99135289473.45609,4313988379.616109,16.88143958310409,2.1199512306036103
DE,2011,91695054875.4957,3671606864.677253,11.24205745503027,2.3119286202083362
DE,2012,101311596464.36057,4750386678.968026,13.576663842198595,2.37536997003279
DE,2013,107589891729.97047,5656691409.348204,18.614405490370856,2.4735660469882013
DE,2014,81838360016.09752,4737789332.077955,12.082860272139017,2.3317712325059916
DE,2015,90321758528.8667,7516693915.505817,16.771811200803825,2.5586433084318356
DE,2017,94725398595.36365,5165611348.175179,13.84195265251402,2.3246811777066654
DE,2018,90094896747.01805,10379935314.210938,11.352851937017139,2.6915242403336
DE,2019,88199365054.68466,8322274320.648094,12.125775829118865,2.5949715334815813
DK,2007,593499706.2003279,8375298.829577867,3.6765241587648676,0.0870488209049466
DK,2008,605269376.8313284,10407867.207184043,3.440594084304404,0.08540042503331159
DK,2009,666623276.6297836,10612936.911069108,2.9887468981541367,0.087921595275013
DK,2011,642001327.6169739,4046043.543689471,2.788606109839948,0.08963176794836149
DK,2012,702946332.0289581,4977661.57422704,2.4853470101593014,0.0893470076507358
DK,2013,708196956.0533835,8710023.442091106,2.355311565394369,0.0895403357370056
DK,2014,555967865.2005103,21764919.439264458,2.0832435461510372,0.0901081829832718
DK,2015,611100829.9179655,5587811.31157835,1.7772159483034915,0.0890411619727453
DK,2017,619396415.3653431,993975.6367135007,1.8483768946104253,0.0882731245971319
DK,2018,632318840.594069,29195901.612755556,1.6439443496105524,0.0927357908512763
DK,2019,594487312.6026423,14841858.476001298,1.5355587533639463,0.0898728248245151
EE,2007,284877730.2722463,6883812.641671944,1.0437184290349224,0.0019987397855773773
EE,2008,259993019.09428072,1140414.0599567827,1.2306665441349909,0.002020925578384729
EE,2009,305197996.99487484,1785429.540807171,1.2456984135541755,0.0020567525817196917
EE,2011,287696593.09033287,10822348.246639226,0.9966819784240297,0.0023084001959617936
EE,2012,324422152.4876805,3285006.402894625,1.1145939036418917,0.002234312595580228
EE,2013,294476704.4703139,6870599.714707836,1.0887215627806328,0.002230621069964623
EE,2014,289115575.83193845,12003470.18800835,1.2510616856052361,0.00229333156822551
EE,2015,255913247.1178789,2334577.8113804227,1.2022594740882864,0.0022667420656618887
EE,2017,289648059.0896423,1064362.7439215514,1.160194012305174,0.0023116817702471533
EE,2018,288919365.22189337,13345706.771017618,1.318541832475543,0.002568494669618
EE,2019,267353410.771348,5914197.300330674,1.3606613642559149,0.0024170899501398963
ES,2007,32838217943.232727,11062258666.1976,18.98387604945459,2.18561360555442
ES,2008,33127305861.135284,11204183170.886452,21.002216871142174,2.51756005894397
ES,2009,31186751065.778465,14857131796.899805,19.585928723966333,3.5813084736870264
ES,2011,28478931465.783566,14030376415.641851,23.253584616231763,3.3802148305736828
ES,2012,34194621046.026093,15591723069.213928,19.565057720156506,3.9789045983188362
ES,2013,35149371545.641335,13406812943.66285,7.162866149109032,3.2948380072041132
ES,2014,27458082794.782894,12723659143.656858,6.278570378751089,2.9551211572828264
ES,2015,28976727463.924965,15908186372.599152,6.349151010899336,4.318497914938936
ES,2017,29115108865.556717,17215513276.053864,7.4486380755751505,4.696670185257956
ES,2018,32520046168.96595,14216537472.541758,8.241265324753266,3.3823570298364496
ES,2019,29967934281.761116,14930391078.262413,8.496585760205173,3.461957827724166
FI,2007,15549919858.563122,78786906.25811297,16.536560746128973,0.0814443438650664
FI,2008,15412501407.897367,9746744.555982085,16.19613385542332,0.0865939620368699
FI,2009,16581779590.564507,49199820.059369795,17.312791709735215,0.08956004143591761
FI,2011,15253281490.624878,234065547.87548745,16.74095752807844,0.0935752283890548
FI,2012,17186395532.437386,32937976.835835252,18.019424642820866,0.0913692369242184
FI,2013,15376843136.0271,131854180.86694546,16.59450240629824,0.0912489701383819
FI,2014,15367119436.627628,307639209.1839211,16.152084803540504,0.09338490788515649
FI,2015,14401180097.140911,13645519.216439473,14.601132298964455,0.09170405726927951
FI,2017,16107682907.646803,6076168.647821851,15.560069603908616,0.09062836797094781
FI,2018,15767307240.809238,358150881.8587642,16.38400478292696,0.09057317333152749
FI,2019,16051794631.571135,128157168.20862421,15.234221653020132,0.0944024164271986
FR,2007,76476196150.19144,5358381024.580526,83.22578141003783,1.7116659860305288
FR,2008,82840050569.73297,6110592418.112171,87.4403762527994,1.7756453938435683
FR,2009,81485594068.17224,9634938218.73101,89.50623270767936,2.0162361123138304
FR,2011,67647420893.113754,7647729315.48008,78.02988938636497,2.0064824522265012
FR,2012,82683231566.40346,8885954756.458776,88.88961464575637,2.075257074143244
FR,2013,89916112288.9384,9423430496.348328,102.59712333521509,2.064969881170529
FR,2014,65959979931.34662,7116354824.427319,79.2467950597235,1.9681139441424378
FR,2015,72949796572.57062,11694366635.181973,85.73258577695543,2.3848140354027825
FR,2017,78871383463.68561,11984769272.647085,87.28635645561667,2.369772740751168
FR,2018,73366980774.61226,14012052820.98958,83.4384838127948,2.411919544606009
FR,2019,74333935804.86797,13423615903.855581,81.62649770391994,2.529066819549991
GB,2007,43977963098.30908,42092531.46910921,41.73190066557679,0.3235029821239857
GB,2008,49013734133.342606,163228172.06103182,41.71200700514105,0.3149743940727357
GB,2009,48374600527.29397,249374810.3358564,40.53460051009807,0.3288529480196516
GB,2011,44053213796.450455,158004693.9365611,39.479755471816716,0.33648770698703717
GB,2012,51649098847.984985,174350034.82968113,40.20732489871742,0.3956857149642223
GB,2013,52429090411.707825,502679749.64536136,42.09830211788399,0.3680115285504677
GB,2014,42565863236.385826,293434161.2903373,39.84718721674779,0.36980390203368957
GB,2015,47307346836.99417,192246273.7394966,40.388497424648804,0.37495520399194127
GB,2017,44845988781.250465,357675779.8554731,39.11455717243771,0.4127706150390077
GB,2018,47583597333.70925,872420593.4271548,38.11475214537536,0.3943674922013842
GB,2019,46725797847.478386,519922527.4994865,37.378798053884594,0.4176102393298227
GR,2007,1316020719.0996783,868731241.7542794,7.361257286006518,0.8319274645245707
GR,2008,1282714520.9236274,843748494.969216,8.04775274466923,0.8194977771462542
GR,2009,1267640909.0878386,755563831.5990293,8.135852206861806,0.5663198729562762
GR,2011,1535269646.6894584,773203484.4673604,4.749773151818526,0.6963572390287445
GR,2012,1449415877.1335716,985946355.9651794,7.370064647093988,1.1646296549048711
GR,2013,1207996922.260717,826845222.9677643,3.162258860682815,0.7280647020789087
GR,2014,1111264767.1349156,732126596.2184035,4.225151552507448,0.6012706457994603
GR,2015,1346996049.5149484,801228708.7555362,5.017082627970954,0.7949694709794638
GR,2017,1338121936.4232178,827136042.8551475,5.733610298894339,1.0249942637371878
GR,2018,1138195907.7752628,806570104.7656114,4.320683359160059,0.8004512542803872
GR,2019,1194518593.4473467,872056965.0936234,4.302109072931504,1.1206913445582698
HR,2007,416705821.79663205,113095389.45641568,1.6646014350084481,0.1525800290936932
HR,2008,420944360.224823,109773303.74851921,2.0395546957915993,0.1607584760602593
HR,2009,444847881.935577,111271639.00306895,2.000458054522021,0.1598217042507861
HR,2011,472229524.37029135,119382338.44440532,1.9987393865804561,0.2357162775558176
HR,2012,469315476.9424777,142895985.6919191,1.8020156825427547,0.2685729602305576
HR,2013,452838069.86710495,103010511.55024561,1.4930430950708642,0.2032271332650078
HR,2014,351155375.5593183,72826960.3916011,1.239588279295675,0.1600282829273802
HR,2015,435226372.0848881,131091846.23119363,1.2633697602517715,0.2497260640556768
HR,2017,454746645.05571824,126304806.99708955,1.6662526438346337,0.2424458179360366
HR,2018,423980634.3474369,125634139.35948777,1.9128549295995683,0.2265458687949243
HR,2019,390578512.02551115,123402445.9942186,1.9596891828336265,0.23706924341199942
HU,2007,2214785609.955099,582670418.6115849,3.1694962225949617,0.08318402327814431
HU,2008,2210922794.7668614,465769476.216809,3.2440094296683486,0.069198562320921
HU,2009,2349210041.919303,502677426.2560309,3.832015416503046,0.0733207130252553
HU,2011,2580213820.6103935,498675630.7120343,4.032311655194124,0.0816002746768265
HU,2012,2495412243.7204943,671581024.208884,0.6355550987739231,0.1163431971069994
HU,2013,2408166341.06221,502076414.42930925,0.6182756710461575,0.09063071561149741
HU,2014,1916261504.8782873,385150032.41395664,0.8663973902154888,0.0779134702890762
HU,2015,2270762373.283619,624444054.6769935,1.5081510370218647,0.11470187108984381
HU,2017,2457333255.373747,547152127.7421556,2.021261430394761,0.103290613373361
HU,2018,2259186592.7366753,640745561.416609,2.3136324492562994,0.11049349238533021
HU,2019,2037025620.6405065,568202477.7715515,2.4344811202486687,0.1305155892528265
IE,2007,773012647.2915978,243523.5468347887,6.967783719778109,0.0300197538885619
IE,2008,899878081.0783386,120819.28887962879,7.692394718516367,0.030313282149215803
IE,2009,913069170.311795,921984.8554919256,6.798504158698612,0.0308469200838845
IE,2011,856159682.9360248,1773.9251277201533,6.626128211840678,0.0312530561821378
IE,2012,913942549.9384556,755351.3756729655,6.1581564755250575,0.0315924220080536
IE,2013,937851500.8849803,9983273.74198401,5.943484112582299,0.0311490842147797
IE,2014,832143182.9770073,2710918.6588034364,5.1309755010940545,0.0320285818815333
IE,2015,915194188.7848551,347283.6188406923,5.060113832428484,0.0311623040977667
IE,2017,823765844.6720097,1113995.2009322892,4.791112636446918,0.0319076580145237
IE,2018,892869775.3051044,8322514.90967407,5.708215793205061,0.0325563940926432
IE,2019,855245546.7165937,1865900.9713829271,5.935425394764436,0.0338373124178558
IT,2007,29229952508.121193,9328054163.52699,32.45763897843273,1.3334300756528599
IT,2008,30251089892.515335,9664486386.837778,33.74106663972201,1.6558374370100712
IT,2009,31522049020.049828,10495535025.797699,34.898140310636514,1.795440626452431
IT,2011,29998253403.956345,9903379635.369247,37.6248419132384,1.670360959780738
IT,2012,32019734718.2797,11882304472.066315,38.87898725483874,2.691683848795003
IT,2013,31371548280.601383,9105211665.19691,37.50716092067902,1.612051149898576
IT,2014,25685524186.24691,8051295015.134268,35.48419756862902,1.3026508755237978
IT,2015,28886531960.747963,11420523597.555712,35.67699952562912,2.4384655314121506
IT,2017,30454068989.37055,11391962487.663284,37.62926850915447,2.3777952497173347
IT,2018,28221033655.84674,10621651141.232824,39.6115521277586,1.8018065266493002
IT,2019,28813780016.07817,11489610187.710365,35.36890960891085,2.2958584253644654
LT,2007,790670774.4619938,31495228.65963836,0.44285233112915445,0.0070788557622316
LT,2008,729383802.9539342,14208349.276433403,0.6124339307003419,0.00731274324757
LT,2009,836681337.3202047,13416587.56741438,0.3536188536195387,0.0076638588449702005
LT,2011,806702145.8914462,30349723.228267312,0.30285987723259955,0.008021051927565399
LT,2012,875206558.0060859,23999992.795646086,0.3911441097894628,0.0089035018379554
LT,2013,830460790.4162958,30549270.635472685,0.2778032362409987,0.0082314625565006
LT,2014,789970754.4623451,41247835.803240895,0.3372334751474184,0.0093039330916576
LT,2015,722688956.6314635,24824509.475089204,0.32262989363937683,0.0089586993242032
LT,2017,784433611.7892952,11553810.391438168,0.26269994110610173,0.0084098978998174
LT,2018,798837806.7696044,49570564.47793719,0.3638659553981009,0.009102001898711801
LT,2019,708075572.1630548,38903091.98378113,0.3750633843899134,0.0089221843685016
LU,2007,3945117.9616113035,92839.57456588413,1.1027893005265197,0.0142711933850603
LU,2008,4422307.506201811,96899.59620558868,0.9488293567285413,0.015229196469923401
LU,2009,4349225.635038514,145738.8247155598,0.9744529511439591,0.0166001343532035
LU,2011,3846113.534919687,107216.63719768751,0.7792083398128541,0.019385905688093702
LU,2012,4440731.802202271,126831.93133528104,0.8396492711801258,0.0208513648384615
LU,2013,4877928.401033031,198866.22314431437,0.9003310104038337,0.0218746454453388
LU,2014,3594331.947590305,130694.09923430835,0.7430262149150741,0.0219449569366599
LU,2015,4123835.921632293,296089.24725750455,0.7516982023469078,0.0248647686918598
LU,2017,4255235.439313792,238565.91894647066,0.9681013950194624,0.0228655854525912
LU,2018,3998404.4966622023,360501.87517753744,0.8286095221567104,0.026474777231769803
LU,2019,4043007.7659596177,284038.1969048757,0.9060942779093493,0.0274589075293867
LV,2007,554694973.5752431,17475715.146118484,0.7886612202217278,0.003202986830771306
LV,2008,511474090.38008964,6030612.079274465,0.6288366458232649,0.003354013566785163
LV,2009,591106007.0209736,5720065.298700091,0.3016802729694594,0.0035824814643240907
LV,2011,563899734.22293,21053608.740100782,0.3838573452550051,0.003850092763893421
LV,2012,621258465.8493676,10294086.404092431,0.678300406648746,0.0038855539009491997
LV,2013,585085608.0760006,16392708.253931655,0.5773041145270339,0.003828151224177047
LV,2014,562988153.7744113,24833014.11012908,0.7114156387775776,0.0040925237283668
LV,2015,507687441.69399124,9133454.195970608,0.5218065534659467,0.0038596219405312
LV,2017,564162374.7711296,4483279.310246219,0.564809127885838,0.0038957670518817997
LV,2018,560598917.7442627,28017027.691843934,0.6373835179637557,0.0042162598256407
LV,2019,507676754.0583048,16962267.220218815,0.6161486557309599,0.0039940534955816
ME,2007,24253159.805345163,2958517.4938935684,0.17447021642538,0.0105417199373405
ME,2008,24074436.482813794,2466766.907756262,0.182203381981078,0.0108694094866643
ME,2009,23910753.188112773,2166694.9643100845,0.1961227202155492,0.0112008696545863
ME,2011,24911815.98095812,2770055.368279526,0.1918740476688256,0.017212441621326
ME,2012,25189352.773109764,3831869.177542316,0.2095857349513443,0.021164239771340798
ME,2013,22812248.341146544,2344140.4621026358,0.40598265914914633,0.0124079167566984
ME,2014,20571724.7932418,1433811.7678263334,0.49157685616986757,0.0124292035103268
ME,2015,23737381.14578496,3372973.7235518303,0.5251124798596869,0.0176299031312879
ME,2017,24877747.419422686,3077753.707417242,0.5736373400491344,0.0174229865201201
ME,2018,21476109.130309045,2258910.647390393,0.5604342198026027,0.016074014904042
ME,2019,22198231.973749936,2874692.8849349404,0.6176325161331092,0.0177598721075821
MK,2007,123315505.95640132,31157599.070120513,0.7484663797755615,0.0329196154915884
MK,2008,120817431.9927778,28796980.291359723,0.7837437715218699,0.019325768433814502
MK,2009,124141430.36447781,21357128.057902437,0.8510513246627356,0.020426969904040998
MK,2011,136585755.3379025,26414972.450268872,0.8595588219982058,0.0183207768521692
MK,2012,133158603.78553686,36755458.40106565,0.8489649726321609,0.0457323043224117
MK,2013,114934366.60987699,24273935.441210985,1.2380443477236602,0.0267197518568777
MK,2014,108009710.2801288,19403144.455299318,1.301361525397305,0.0276023854362141
MK,2015,124415920.93944016,29719438.62255363,1.2428124733312071,0.0370319679221235
MK,2017,125938633.92878175,29938633.90497095,1.3295220230233,0.0336407890911543
MK,2018,109876067.52930239,21808679.267519385,1.2502046962223394,0.025605619562027303
MK,2019,111340123.5914864,29111160.111419916,1.7746865161285195,0.0319725170016346
NL,2007,1280857396.2123523,38445953.89146046,7.9236237847913795,0.3263961002073386
NL,2008,1485601782.8493757,53200003.309983075,7.749170867116046,0.3520959585052334
NL,2009,1503351978.1194139,60712382.84390691,8.156871654305249,0.3792323077043228
NL,2011,1365275144.0518475,35391649.709429294,7.811516157414064,0.4177493356157952
NL,2012,1566514500.3975852,63113642.06671198,7.792603959371644,0.4301313260096728
NL,2013,1709273187.053001,74243015.16362302,7.225894876712366,0.4394160832476143
NL,2014,1198752018.7181091,69754552.84726806,5.564675600786021,0.4432456554833739
NL,2015,1389773892.1909318,69695749.24038146,5.079399643617589,0.4665199743101277
NL,2017,1408146399.2026062,61670145.54550109,5.637695704179804,0.46564660692922144
NL,2018,1434998900.5537853,150466502.08739057,6.134590187584546,0.5156141604587338
NL,2019,1363570665.9651191,109248062.04889405,5.694938748590737,0.5269343989190485
NO,2007,14379165763.723598,19811374.352236025,40.32948366413186,0.0888475964386824
NO,2008,14488853738.089571,34831080.8982697,41.828183730654985,0.0914879333271942
NO,2009,14873334725.64569,24733063.83797223,45.77377783279944,0.1003471686483721
NO,2011,13778578458.941532,13931410.300408218,49.45443554232838,0.1047664806181987
NO,2012,15516843760.970703,2947015.6303442903,51.73446903761528,0.1013930885774558
NO,2013,14520268629.878304,12756991.166233243,40.62315070272207,0.09149896794253469
NO,2014,13570650251.112812,68893030.24679033,37.99430355498838,0.0910071775470561
NO,2015,13760451888.784367,5724937.9306363715,40.72753966406431,0.11563787679756371
NO,2017,14599866516.705982,1386634.5195636319,45.19627996721234,0.126313398832861
NO,2018,14439998097.855946,98953572.0103427,46.45384606586836,0.1296124207798101
NO,2019,14688653444.423725,40696191.81031104,46.89812336844128,0.1311786855825464
PL,2007,40462807049.8495,2811000125.158251,8.028200633910389,0.115334188699274
PL,2008,39363605776.24105,1977133211.8575003,10.26428806476936,0.12233321961096069
PL,2009,44200928399.02878,1814811644.419694,8.712261934783985,0.1349489301902231
PL,2011,42650010524.186005,2003963071.4349608,11.295072503498021,0.1502934083458666
PL,2012,45973590252.31105,2995531093.371065,11.110742639836346,0.1635268627722209
PL,2013,45303765066.39093,2518109152.7974386,9.209450825551773,0.1640832366312859
PL,2014,38698514510.09671,2859527238.610502,10.242595035676407,0.1637723310627001
PL,2015,38510225184.746086,3668386805.2720447,9.93636851210083,0.1963458296815529
PL,2017,41952680432.39356,2107964859.75957,10.841576046544299,0.1671435328901118
PL,2018,40578782081.17494,4293575376.7707,12.638351220430033,0.1761127787942345
PL,2019,36924307465.18877,4025788241.0825996,12.601858216176629,0.1999159077785374
PT,2007,802092179.9727855,331280507.24799335,4.744844473304733,0.272388028860127
PT,2008,799310997.7574024,317809500.6750668,4.840792601529948,0.2656296466223092
PT,2009,739961028.8855999,467033358.7878228,5.234183237875341,0.35388594200975354
PT,2011,707011056.827739,448231186.32801706,4.525295497594401,0.3670775821744642
PT,2012,877685191.860657,422537675.7968263,4.740129903260015,0.37424061070257797
PT,2013,875903790.5192738,485229058.8280075,3.9718056335209777,0.4472868706955086
PT,2014,714930663.2156401,354869985.81960803,5.245411300875471,0.3268596675302058
PT,2015,695930969.3514417,451360293.5407583,5.482256280217248,0.3647785157123561
PT,2017,693352036.9475853,532376266.69164634,4.491400821033766,0.4793075453729781
PT,2018,845584248.9058435,448449890.941107,5.434278535391905,0.4282130339716185
PT,2019,710897324.1753981,398677544.3976438,5.571259929354371,0.35670651510232076
RO,2007,13008131057.377563,2504197860.430997,1.2005718364087952,0.09644807310135581
RO,2008,13158812132.941004,1939348671.8179975,0.8384375045600855,0.0652921594580178
RO,2009,13211458095.90907,1883856893.309667,0.9535436993617186,0.0617332240368398
RO,2011,15082296469.35473,1934187548.5491629,1.3804337179275772,0.0716484608179229
RO,2012,14753990538.00887,3010808128.512048,0.8528376759664436,0.1507545748521374
RO,2013,13477548574.311722,1945377158.348343,0.6066351755859394,0.0836202662836562
RO,2014,12579064418.72147,1604565058.8583403,0.4743691590396261,0.07666479150160191
RO,2015,12936701799.906569,2484391062.670578,0.18079180022390362,0.1285658106891395
